2023-08-23 21:00:50,298 - [INFO]  - mysql_util.py - [24] : connected localhost:3306 with db 
2023-08-23 21:00:50,303 - [INFO]  - json_service.py - [8] : visited jason_service, start to process jason file....
2023-08-23 21:00:50,303 - [INFO]  - file_util.py - [10] :  reading all filenames under the /Users/liuwenxuan/Workspace/testdata
2023-08-23 21:00:50,304 - [INFO]  - json_service.py - [13] : get filelist : ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:00:50,344 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 1 records, the executed sql is SHOW TABLES
2023-08-23 21:00:50,345 - [INFO]  - mysql_util.py - [57] : checking table metadata.processed_file exists
2023-08-23 21:00:50,345 - [INFO]  - mysql_util.py - [66] : table processed_file has already existed in metadata
2023-08-23 21:00:50,347 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 0 records, the executed sql is SELECT file_name from processed_file
2023-08-23 21:00:50,348 - [INFO]  - mysql_util.py - [80] : accessed metadata_db, and get all processed file list () in tableprocessed_file
2023-08-23 21:00:50,348 - [INFO]  - json_service.py - [24] : these file in filelist have already been processed: []
2023-08-23 21:00:50,348 - [INFO]  - json_service.py - [27] : these files need to be processed: ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:02:24,874 - [INFO]  - mysql_util.py - [24] : connected localhost:3306 with db 
2023-08-23 21:02:24,886 - [INFO]  - json_service.py - [8] : visited jason_service, start to process jason file....
2023-08-23 21:02:24,887 - [INFO]  - file_util.py - [10] :  reading all filenames under the /Users/liuwenxuan/Workspace/testdata
2023-08-23 21:02:24,887 - [INFO]  - json_service.py - [13] : get filelist : ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:02:24,938 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 1 records, the executed sql is SHOW TABLES
2023-08-23 21:02:24,938 - [INFO]  - mysql_util.py - [57] : checking table metadata.processed_file exists
2023-08-23 21:02:24,938 - [INFO]  - mysql_util.py - [66] : table processed_file has already existed in metadata
2023-08-23 21:02:24,939 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 0 records, the executed sql is SELECT file_name from processed_file
2023-08-23 21:02:24,939 - [INFO]  - mysql_util.py - [80] : accessed metadata_db, and get all processed file list () in tableprocessed_file
2023-08-23 21:02:24,940 - [INFO]  - json_service.py - [24] : these file in filelist have already been processed: []
2023-08-23 21:02:24,940 - [INFO]  - json_service.py - [27] : these files need to be processed: ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:02:59,982 - [INFO]  - mysql_util.py - [24] : connected localhost:3306 with db 
2023-08-23 21:02:59,987 - [INFO]  - json_service.py - [8] : visited jason_service, start to process jason file....
2023-08-23 21:02:59,987 - [INFO]  - file_util.py - [10] :  reading all filenames under the /Users/liuwenxuan/Workspace/testdata
2023-08-23 21:02:59,988 - [INFO]  - json_service.py - [13] : get filelist : ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:03:00,010 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 1 records, the executed sql is SHOW TABLES
2023-08-23 21:03:00,011 - [INFO]  - mysql_util.py - [57] : checking table metadata.processed_file exists
2023-08-23 21:03:00,011 - [INFO]  - mysql_util.py - [66] : table processed_file has already existed in metadata
2023-08-23 21:03:00,012 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 0 records, the executed sql is SELECT file_name from processed_file
2023-08-23 21:03:00,012 - [INFO]  - mysql_util.py - [80] : accessed metadata_db, and get all processed file list () in tableprocessed_file
2023-08-23 21:03:00,012 - [INFO]  - json_service.py - [24] : these file in filelist have already been processed: []
2023-08-23 21:03:00,012 - [INFO]  - json_service.py - [27] : these files need to be processed: ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:10:09,886 - [INFO]  - mysql_util.py - [24] : connected localhost:3306 with db 
2023-08-23 21:10:09,893 - [INFO]  - json_service.py - [8] : visited jason_service, start to process jason file....
2023-08-23 21:10:09,893 - [INFO]  - file_util.py - [10] :  reading all filenames under the /Users/liuwenxuan/Workspace/testdata
2023-08-23 21:10:09,894 - [INFO]  - json_service.py - [13] : get filelist : ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:10:09,940 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 1 records, the executed sql is SHOW TABLES
2023-08-23 21:10:09,940 - [INFO]  - mysql_util.py - [57] : checking table metadata.processed_file exists
2023-08-23 21:10:09,940 - [INFO]  - mysql_util.py - [66] : table processed_file has already existed in metadata
2023-08-23 21:10:09,942 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 0 records, the executed sql is SELECT file_name from processed_file
2023-08-23 21:10:09,942 - [INFO]  - mysql_util.py - [80] : accessed metadata_db, and get all processed file list () in tableprocessed_file
2023-08-23 21:10:09,942 - [INFO]  - json_service.py - [24] : these file in filelist have already been processed: []
2023-08-23 21:10:09,943 - [INFO]  - json_service.py - [27] : these files need to be processed: ['/Users/liuwenxuan/Workspace/testdata/.DS_Store', '/Users/liuwenxuan/Workspace/testdata/x01', '/Users/liuwenxuan/Workspace/testdata/x02', '/Users/liuwenxuan/Workspace/testdata/x04', '/Users/liuwenxuan/Workspace/testdata/x03']
2023-08-23 21:10:09,947 - [INFO]  - json_service.py - [73] : complete csv file process, saved to : /Users/liuwenxuan/Workspace/csv/
2023-08-23 21:10:09,955 - [INFO]  - mysql_util.py - [36] : executed sql the result includes 0 records, the executed sql is SHOW TABLES
2023-08-23 21:10:09,956 - [INFO]  - mysql_util.py - [57] : checking table retail.orders exists
